"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000362;70;"BRUNO MANOEL REZENDE";"BRUNO MINEIRO";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";70;"PT do B";"Partido Trabalhista do Brasil";30000000015;"UNIDOS PELO AMAPÁ QUE QUEREMOS";"PEN / PHS / PR / PRB / PROS / PSDC / PT do B / PTN / PV";4;"NÃO ELEITO";"N";344
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000460;40;"CARLOS CAMILO GÓES CAPIBERIBE";"CAMILO CAPIBERIBE";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";40;"PSB";"Partido Socialista Brasileiro";30000000019;"FRENTE POPULAR A FAVOR DO AMAPA";"PC do B / PSB / PSOL / PT";6;"2º TURNO";"N";1419
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000001;16;"GENIVAL CRUZ DE ARAUJO";"GENIVAL CRUZ";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";16;"PSTU";"Partido Socialista dos Trabalhadores Unificado";30000000001;"PARTIDO ISOLADO";"PSTU";4;"NÃO ELEITO";"N";18
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000140;23;"JORGE EMANOEL AMANAJAS CARDOSO";"JORGE AMANAJAS";"#NULO#";12;"APTO";16;"DEFERIDO COM RECURSO";"COLIGAÇÃO";23;"PPS";"Partido Popular Socialista";30000000008;"O FUTURO COMEÇA AGORA";"PMN / PPL / PPS / PRP / PRTB / PSC / PTB / PTC";4;"NÃO ELEITO";"N";72
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000057;55;"LUIZ CANTUARIA BARRETO";"LUCAS BARRETO";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";55;"PSD";"Partido Social Democrático";30000000005;"JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA";"DEM / PSD / PSDB / SD";4;"NÃO ELEITO";"N";539
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;3;"Governador";30000000088;12;"ANTÔNIO WALDEZ GÓES DA SILVA";"WALDEZ";"#NULO#";12;"APTO";16;"DEFERIDO COM RECURSO";"COLIGAÇÃO";12;"PDT";"Partido Democrático Trabalhista";30000000006;"A FORÇA DO POVO";"PDT / PMDB / PP";6;"2º TURNO";"N";2137
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000010;369;"PALMIRA DAS NEVES BITTENCOURT";"CORONEL PALMIRA";"#NULO#";12;"APTO";16;"DEFERIDO COM RECURSO";"PARTIDO ISOLADO";36;"PTC";"Partido Trabalhista Cristão";30000000002;"PARTIDO ISOLADO";"PTC";4;"NÃO ELEITO";"N";32
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000027;255;"DAVID SAMUEL ALCOLUMBRE TOBELEM";"DAVI ALCOLUMBRE";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";25;"DEM";"Democratas";30000000005;"JUNTOS PELO DESENVOLVIMENTO PELA PAZ E PELA VIDA";"DEM / PSD / PSDB / SD";1;"ELEITO";"N";1805
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000481;131;"DORALICE NASCIMENTO DE SOUZA";"DORA NASCIMENTO";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";13;"PT";"Partido dos Trabalhadores";30000000019;"FRENTE POPULAR A FAVOR DO AMAPA";"PC do B / PSB / PSOL / PT";4;"NÃO ELEITO";"N";680
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000113;152;"GILVAM PINHEIRO BORGES";"GILVAM";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";15;"PMDB";"Partido do Movimento Democrático Brasileiro";30000000006;"A FORÇA DO POVO";"PDT / PMDB / PP";4;"NÃO ELEITO";"N";1576
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000016;280;"MARCO ANTONIO REIS DE ABREU";"MARQUINHO ABREU";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";30000000004;"PARTIDO ISOLADO";"PRTB";4;"NÃO ELEITO";"N";16
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000484;441;"JORVAN TAVARES NASCIMENTO";"PASTOR JORVAN";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";44;"PRP";"Partido Republicano Progressista";30000000020;"PARTIDO ISOLADO";"PRP";4;"NÃO ELEITO";"N";58
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000006;161;"PAULO RICARDO OLIVEIRA FARIAS";"PROFESSOR PAULO RICARDO";"#NULO#";12;"APTO";2;"DEFERIDO";"PARTIDO ISOLADO";16;"PSTU";"Partido Socialista dos Trabalhadores Unificado";30000000001;"PARTIDO ISOLADO";"PSTU";4;"NÃO ELEITO";"N";6
"28/07/2021";"11:54:31";"2014";2;"Eleição Ordinária";1;143;"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"AP";"AP";"AMAPÁ";"06017";"AMAPÁ";1;5;"Senador";30000000364;511;"MOISES RIVALDO PEREIRA";"PROMOTOR MOISÉS";"#NULO#";12;"APTO";2;"DEFERIDO";"COLIGAÇÃO";51;"PEN";"Partido Ecológico Nacional";30000000015;"UNIDOS PELO AMAPÁ QUE QUEREMOS";"PEN / PHS / PR / PRB / PROS / PSDC / PT do B / PTN / PV";4;"NÃO ELEITO";"N";168
